iso3,countryname,genero,age,Fruits (g/day),Non-starchy vegetables (g/day),Beans and legumes (g/day),Unprocessed red meats (g/day),Sugar-sweetened beverages (g/day),Total Protein (g/day)
AFG,Afghanistan,MALE,22,82.61040283333334,211.7844041666667,86.69721208333334,46.798648833333324,230.50948000000002,70.78772983333332
AFG,Afghanistan,MALE,27,84.22267441666666,220.28633499999998,89.26601841666667,47.56236708333333,16666.99126916666,71.149503
AFG,Afghanistan,MALE,32,86.61496908333334,227.36262250000001,91.45121224999998,48.56782125000001,152.5518691666667,71.58396591666666
AFG,Afghanistan,MALE,37,87.90894458333332,232.19350250000002,95.0223635,47.59981324999999,127.08246416666667,71.93729591666668
AFG,Afghanistan,MALE,42,89.66759749999999,233.93324416666667,97.40720233333333,47.83756383333334,9483.301837583333,72.40999408333333
AFG,Afghanistan,MALE,47,89.93692691666666,235.080055,98.26925591666667,47.22975816666667,95.98872791666668,72.78897091666666
AFG,Afghanistan,MALE,52,90.49342783333333,234.67924916666664,98.60994050000001,3887.5651352499995,85.03479608333333,73.11012766666667
AFG,Afghanistan,MALE,57,89.64238275000001,233.45058500000002,101.30466150000001,45.99075191666666,77.98563833333334,73.48637775
AFG,Afghanistan,MALE,62,88.66261391666667,233.2752475,103.98066608333333,44.76463283333333,73.08955950000001,73.60329241666666
AFG,Afghanistan,MALE,67,87.50247633333333,230.25973916666666,105.08831350000001,44.15374449999999,68.09838741666667,73.934234
AFG,Afghanistan,MALE,72,86.21744116666667,227.97653999999997,9714.267724166668,42.84842041666667,65.53352375,74.18965225
AFG,Afghanistan,MALE,77,84.62182133333333,17696.543093333334,109.59698200000001,41.56057633333333,63.17223416666667,74.3811085
AFG,Afghanistan,MALE,82,82.77855466666665,221.52643166666667,111.69492691666665,40.07566691666667,62.288784333333325,74.72974083333334
AFG,Afghanistan,MALE,87,80.79562191666666,219.29893916666666,110.83640325,39.03817333333333,62.22892391666667,75.45982049999999
AFG,Afghanistan,MALE,92,78.88649100000002,214.26345916666665,114.18308,38.45176641666668,63.352420833333326,75.4186745
AGO,Angola,MALE,22,2.9553522530712533,3.13304314004914,0.31249035872235875,0.356160544963145,9.21260918918919,1.9069015356265355
AGO,Angola,MALE,27,108.53707008333332,112.4135975,10.721951291666665,12.691203058333334,291.7194983333333,65.89887366666666
AGO,Angola,MALE,32,8648.080888999999,117.04835083333332,10.651969891666667,13.128696583333335,269.95272,66.47529975
AGO,Angola,MALE,37,120.97544250000003,120.79646000000001,10.872655166666666,13.5479866,246.42877583333328,67.46726791666667
AGO,Angola,MALE,42,124.05129908333333,123.52965666666667,10.981481233333332,862.5357456916666,228.5768416666667,67.78849641666666
AGO,Angola,MALE,47,124.94622041666666,123.08198833333331,11.064128333333331,14.521795158333333,214.14047583333334,68.24997666666667
AGO,Angola,MALE,52,123.55345908333334,122.271005,11.2951652,14.7396969,10343.636293333333,68.30451383333333
AGO,Angola,MALE,57,120.73296133333334,121.64161083333333,11.36377395,15.152329791666665,191.73963966666668,68.1432565
AGO,Angola,MALE,62,13287.317783583334,119.23035583333336,11.485573458333334,15.413940908333336,184.21139791666667,68.22213308333335
AGO,Angola,MALE,67,110.75991808333333,10870.279573333333,11.492285941666667,15.854083375,176.06574333333333,68.01531658333332
AGO,Angola,MALE,72,104.33333416666669,111.25265,11.633714591666667,16.447254358333332,169.64161116666668,5210.639007416667
AGO,Angola,MALE,77,98.60435783333332,107.85016716666667,11.916293083333334,16.487641133333334,16378.050849333338,67.24819133333332
AGO,Angola,MALE,82,91.0580365,103.39702275,11.739708233333332,16.914792741666666,162.85551333333333,66.78855616666667
AGO,Angola,MALE,87,84.78220658333333,100.09933775,11.817920674999998,17.029483541666668,162.36688666666666,66.65849616666667
AGO,Angola,MALE,92,78.20297875,95.77812108333332,11.843213633333333,17.552966116666667,165.622888,66.06246466666666
ALB,Albania,MALE,22,270.01515267813267,2.84654285995086,1.0060539017199017,1.7336830786240787,4.72122457002457,2.5244964668304664
ALB,Albania,MALE,27,112.95501333333333,114.19667249999999,34.90027158333333,61.195588500000014,125.56524000000002,87.64291833333333
ALB,Albania,MALE,32,120.0227475,131.32611083333333,35.723095083333334,62.86294858333334,9171.608341583335,89.07256841666667
ALB,Albania,MALE,37,126.06044333333331,146.09455583333335,36.628975000000004,63.643645,78.51931316666666,89.65880216666666
ALB,Albania,MALE,42,130.5249575,157.58560833333334,37.62879783333333,63.506927749999996,63.75856658333334,89.44628775
ALB,Albania,MALE,47,133.2138158333333,165.34136083333334,38.73106283333333,62.646909333333326,53.653753583333334,88.95126291666664
